Total packets,Total size,Mean size,Mean inter-arrival,Scenario
47,4423,94.10638298,0.0050425,0
177,17244,97.42372881,0.001310034,0
95,9075,95.52631579,0.002108223,0
115,11325,98.47826087,0.001646018,0
138,13601,98.55797101,0.001755664,0
72,6985,97.01388889,0.003477042,0
95,9097,95.75789474,0.002611723,0
161,15679,97.38509317,0.001496075,0
110,10778,97.98181818,0.002233147,0
112,10731,95.8125,0.002220667,0
70,6917,98.81428571,0.003407884,0
77,7374,95.76623377,0.002951382,0
178,17619,98.98314607,0.001151209,0
112,10780,96.25,0.002213766,0
63,6249,99.19047619,0.003551,0
137,13345,97.40875912,0.001625015,0
52,4795,92.21153846,0.004593922,0
159,15911,100.0691824,0.001427646,0
101,9563,94.68316832,0.00185418,0
138,13601,98.55797101,0.00172965,0
96,9167,95.48958333,0.002374632,0
103,9939,96.49514563,0.002290647,0
58,5541,95.53448276,0.004278614,0
177,17280,97.62711864,0.001068114,0
77,7385,95.90909091,0.002741684,0
91,8775,96.42857143,0.002155278,0
168,16594,98.77380952,0.001444413,0
76,7308,96.15789474,0.003228827,0
157,15422,98.22929936,0.001600417,0
108,10384,96.14814815,0.002330252,0
89,8828,99.19101124,0.002289432,0
121,11785,97.39669421,0.001950608,0
77,7357,95.54545455,0.002622645,0
99,9540,96.36363636,0.002476031,0
168,16557,98.55357143,0.001139341,0
88,8554,97.20454545,0.002653057,0
72,6982,96.97222222,0.002885113,0
131,12860,98.16793893,0.001833977,0
57,5498,96.45614035,0.003654214,0
167,16261,97.37125749,0.001307849,0
92,8807,95.72826087,0.002396044,0
155,15241,98.32903226,0.001583838,0
87,8539,98.14942529,0.002810372,0
88,8539,97.03409091,0.002261322,0
57,5518,96.80701754,0.003823339,0
155,15012,96.8516129,0.001299896,0
172,16806,97.70930233,0.00140031,0
109,10701,98.17431193,0.002265759,0
75,6961,92.81333333,0.003209824,0
80,7830,97.875,0.003091544,0
164,15941,97.20121951,0.001342546,0
125,12177,97.416,0.001893524,0
107,10409,97.28037383,0.00189883,0
97,9524,98.18556701,0.002344521,0
79,7539,95.43037975,0.002876462,0
97,9477,97.70103093,0.002192927,0
120,11678,97.31666667,0.00201879,0
80,7887,98.5875,0.002181291,0
155,15072,97.23870968,0.001433364,0
106,10463,98.70754717,0.002018343,0
57,5350,93.85964912,0.003969286,0
139,13609,97.90647482,0.001758732,0
158,15437,97.70253165,0.001434293,0
126,12156,96.47619048,0.001705536,0
51,4949,97.03921569,0.00392922,0
108,10434,96.61111111,0.002159579,0
76,7398,97.34210526,0.00303484,0
207,20441,98.74879227,0.001172,0
104,10140,97.5,0.002278689,0
91,8834,97.07692308,0.0027195,0
68,6577,96.72058824,0.003395821,0
166,16169,97.40361446,0.001278624,0
115,11193,97.33043478,0.002059711,0
114,11159,97.88596491,0.002049336,0
102,10015,98.18627451,0.002451436,0
63,5757,91.38095238,0.003699677,0
58,5630,97.06896552,0.004086754,0
206,20351,98.79126214,0.001100732,0
74,7114,96.13513514,0.002839205,0
153,14875,97.22222222,0.001520197,0
86,8352,97.11627907,0.002841082,0
64,6091,95.171875,0.003825524,0
128,12578,98.265625,0.001513055,0
129,12534,97.1627907,0.001853906,0
117,11252,96.17094017,0.001856724,0
141,14080,99.85815603,0.0015743,0
61,5820,95.40983607,0.004132083,0
94,9034,96.10638298,0.002641366,0
179,17448,97.47486034,0.001387354,0
107,10498,98.11214953,0.002321066,0
97,9308,95.95876289,0.00236924,0
104,10082,96.94230769,0.002015262,0
94,9039,96.15957447,0.002503925,0
115,11535,100.3043478,0.002056658,0
100,9500,95,0.002433404,0
132,12874,97.53030303,0.001712992,0
75,7263,96.84,0.002763662,0
131,13014,99.34351145,0.001700046,0
57,5293,92.85964912,0.003475286,0
192,19037,99.15104167,0.001263838,0
113,10857,96.07964602,0.002227384,0
91,8825,96.97802198,0.0027184,0
76,7506,98.76315789,0.002706107,0
103,9669,93.87378641,0.002137627,0
60,5807,96.78333333,0.003392729,0
153,15020,98.16993464,0.001489704,0
170,16792,98.77647059,0.001416953,0
113,11066,97.92920354,0.002206438,0
87,8231,94.6091954,0.002881721,0
87,8427,96.86206897,0.002824209,0
142,13885,97.78169014,0.001717255,0
117,11406,97.48717949,0.001524052,0
112,10991,98.13392857,0.002129748,0
105,10170,96.85714286,0.002291365,0
87,8179,94.01149425,0.002873314,0
93,8907,95.77419355,0.00231838,0
114,11111,97.46491228,0.002036425,0
152,15019,98.80921053,0.001553318,0
74,7131,96.36486486,0.002925397,0
129,12669,98.20930233,0.001719938,0
66,6220,94.24242424,0.003369969,0
169,16620,98.34319527,0.001353083,0
90,8533,94.81111111,0.00260709,0
118,11696,99.11864407,0.00179194,0
127,12487,98.32283465,0.001907008,0
77,7435,96.55844156,0.003250118,0
59,5657,95.88135593,0.003741345,0
109,10512,96.44036697,0.002264509,0
195,19295,98.94871795,0.001223995,0
108,10610,98.24074074,0.002313944,0
73,6934,94.98630137,0.003418111,0
90,8722,96.91111111,0.002172607,0
161,15970,99.19254658,0.001512256,0
115,10973,95.4173913,0.001803789,0
70,6823,97.47142857,0.003295957,0
